
2024/08/08 (11:15:15) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/08 (11:15:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/08 (12:16:02) | INFO: Quitting! Runtime: 01:00:49

2024/08/13 (21:10:07) | ===> btop++ v.1.3.0
2024/08/13 (21:10:07) | INFO: Logger set to INFO
2024/08/13 (21:10:07) | INFO: Running on /dev/pts/2
2024/08/13 (21:10:07) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/13 (21:10:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/13 (21:10:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/14 (00:54:55) | ===> btop++ v.1.3.0
2024/08/14 (00:54:55) | INFO: Logger set to INFO
2024/08/14 (00:54:55) | INFO: Running on /dev/pts/2
2024/08/14 (00:54:55) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/14 (00:54:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/14 (00:54:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/14 (11:43:29) | ===> btop++ v.1.3.0
2024/08/14 (11:43:29) | INFO: Logger set to INFO
2024/08/14 (11:43:29) | INFO: Running on /dev/pts/0
2024/08/14 (11:43:29) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/14 (11:43:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/14 (11:43:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/14 (14:45:17) | INFO: Quitting! Runtime: 03:01:48

2024/08/15 (10:24:49) | ===> btop++ v.1.3.0
2024/08/15 (10:24:49) | INFO: Logger set to INFO
2024/08/15 (10:24:49) | INFO: Running on /dev/pts/3
2024/08/15 (10:24:49) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/15 (10:24:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/15 (10:24:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/22 (22:19:57) | ===> btop++ v.1.3.0
2024/08/22 (22:19:57) | INFO: Logger set to INFO
